,Smiles,sdg
603,O=Cc1ccccc1C(=O)O,436.0
604,COC(=O)c1ccccc1O,366.0
605,Cc1ccccc1C(=O)O,407.0
606,COC(=O)c1ccc(C=O)cc1,401.0
607,COC(=O)c1ccc(C)cc1,363.71
608,CCCCOC(=O)c1ccccc1,379.0
609,CCOC(=O)c1ccccc1,354.0
610,COC(=O)c1ccccc1,349.0
611,O=C(OCc1ccccc1)c1ccccc1,432.0
612,CCCOC(=O)c1ccccc1,365.0
613,N#Cc1ccccc1,341.0
614,O=C(Cl)c1ccccc1,344.0
615,CC(OC=O)c1ccccc1,349.0
616,C=C1CCC2CC1C2(C)C,308.0
617,c1ccc(-c2ccccc2)cc1,375.0
618,CCCC=O,265.0
619,CCC(C)C=O,267.0
620,CC(O)CC=O,351.0
621,O=CCCCO,344.0
622,CCCCOC(C)C,280.0
623,C=COCCCC,270.0
624,CCCCSC,289.0
625,CCCCOCCOCCOCCCC,378.0
626,CCCCOCCCC,308.0
627,CC(C)CCSCCC(C)C,352.0
628,CCC(Cl)CCl,299.0
629,ClCCCCCl,324.0
630,CCCCSCCCC,332.0
631,CCCCCl,261.0
632,CCCCOCC,266.0
633,CCCCN=C=O,291.0
634,CCCCOC,252.0
635,CCC(C)OC(C)(C)C,276.0
636,CC(C)C(C)(C)C,250.0
637,CCC(C)(C)C,231.0
638,CC(Cl)C(C)Cl,295.0
639,CC(C)C(C)C,237.0
640,CCC(C)Cl,252.0
641,CCOC(C)(C)CC,268.0
642,CCC(C)OC,245.0
643,CCC(C)(C)OC,260.0
644,CCC(C)C,216.0
645,CCC(C)(C)SC,302.0
646,CCOC(=O)CCC(=O)OCC,367.0
647,O=C(O)CC(O)C(=O)O,508.0
648,C=C(CC(=O)O)C(=O)O,484.0
649,CCCC#N,290.0
650,CCCC(=O)O,345.0
651,CCC(C)(C)C(=O)O,349.0
652,CCC(CC)C(=O)O,356.0
653,CCC(C)C(=O)O,347.0
654,CC(C)CC(=O)O,349.0
655,CC(C)CCOC(=O)CC(C)C,332.0
656,CCOC(=O)CC(C)C,299.0
657,CCOC(=O)CC(C)=O,341.0
658,COC(=O)CC(C)=O,340.0
659,CCCC(=O)OC(=O)CCC,349.0
660,CCCCOC(=O)CCC,319.0
661,CCCC(=O)OCC,289.0
662,CCCC(=O)OC,281.0
663,CCCOC(=O)CCC,304.0
664,CCOC(=O)OCC,300.0
665,COC(=O)OC,282.0
666,CCOC(=O)Cl,301.0
667,COC(=O)Cl,284.0
668,C1CCC1,209.0
669,C1CCCCCC1,281.0
670,C1=CCCCCC1,278.0
